model,requirement,hlj_id,tags_added,tags_dropped,num_tags_added,num_tags_dropped,total_tag_changes,top_reason
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,"['webhook', 'notification']","['notifications', 'webhooks', '[INFERRED] compliance']",2,3,5,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,"['edge case', 'upgrade']","['edge cases', 'upgrades', '[INFERRED] billing']",2,3,5,none
gpt41,req-027,REQ-027-HLJ-Chunk_1-Item_9-v1.0,"['logs', 'audit']","['[INFERRED] traceability', 'auditing', 'logging']",2,3,5,direct
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_6-v1.0,['notification'],"['notifications', 'backend', 'messaging']",1,3,4,none
meta70b,req-010,REQ-010-HLJ-Chunk_1-Item_3-v1.0,['phantom balance'],"['phantom-balances', 'logic development', 'transaction-management']",1,3,4,none
gpt41,req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,['webhook'],"['customization', '[INFERRED] usability', 'webhooks']",1,3,4,none
gpt41,req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['false-positive', '[INFERRED] maintainability', 'logging']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_9-v1.0,['logs'],"['optimization', 'ml', 'logging']",1,3,4,none
meta70b,req-003,REQ-003-HLJ-Chunk_1-Item_2-v1.0,['alert'],"['[INFERRED] notification', 'realtime', 'alerting']",1,3,4,none
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_3-v1.0,['config'],"['real-time', 'admin-portal', 'configuration']",1,3,4,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_10-v1.0,['alert'],"['performance', 'alerts', 'ratelimit']",1,3,4,none
opus4,req-022,REQ-022-HLJ-Chunk_1-Item_9-v1.0,"['alert', 'notification']","['notifications', 'alerts']",2,2,4,direct
meta70b,req-017,REQ-017-HLJ-Chunk_1-Item_4-v1.0,['notification'],"['user experience', 'notifications', '[INFERRED] alerts']",1,3,4,none
opus4,req-018,REQ-018-HLJ-Chunk_1-Item_8-v1.0,['lock'],"['concurrency', 'safety', 'locking']",1,3,4,none
opus4,req-017,REQ-017-HLJ-Chunk_1-Item_9-v1.0,['integration'],"['payments', 'integrations']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_7-v1.0,[],"['[INFERRED] concurrency', 'error_handling', 'consistency']",0,3,3,none
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_3-v1.0,[],"['auditlogs', 'datalineage', '[INFERRED] compliance']",0,3,3,none
meta70b,req-022,REQ-022-HLJ-Chunk_1-Item_4-v1.0,[],"['filters', '[INFERRED] security', 'export_controls']",0,3,3,none
meta70b,req-022,REQ-022-HLJ-Chunk_1-Item_2-v1.0,[],"['[INFERRED] security', 'implementation', 'access_logs']",0,3,3,none
meta70b,req-014,REQ-014-HLJ-Chunk_2-Item_12-v1.0,['logs'],"['fee query', 'logging']",1,2,3,none
meta70b,req-029,REQ-029-HLJ-Chunk_1-Item_3-v1.0,['filter'],"['filtering', '[INFERRED] data analysis']",1,2,3,none
gpt41,req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,['alert'],"['alerting', '[INFERRED] regression']",1,2,3,direct
gpt41,req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,['alert'],"['[INFERRED] performance', 'alerting']",1,2,3,direct
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_6-v1.0,['ci/cd'],"['CI/CD', '[INFERRED] automation']",1,2,3,direct
meta70b,req-029,REQ-029-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['[INFERRED] security', 'logging']",1,2,3,direct
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_9-v1.0,['api'],"['[INFERRED] gdpr', 'apis']",1,2,3,direct
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,['alert'],"['[INFERRED] debugging', 'alerting']",1,2,3,none
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_3-v1.0,['dashboard'],"['dashboards', '[INFERRED] engineering']",1,2,3,direct
opus4,req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,['upgrade'],"['upgrades', 'subscriptions']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_1-Item_3-v1.0,[],"['fx-rates', 'rate-lock', 'timing']",0,3,3,none
opus4,req-020,REQ-020-HLJ-Chunk_2-Item_12-v1.0,['webhook'],"['sync-control', 'webhooks']",1,2,3,direct
gpt41,req-022,REQ-022-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['[INFERRED] compliance', 'logging']",1,2,3,direct
meta70b,req-013,REQ-013-HLJ-Chunk_2-Item_4-v1.0,['notification'],"['notifications', 'payoutstatus']",1,2,3,none
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_7-v1.0,['alert'],"['alerts', 'ui']",1,2,3,direct
gpt41,req-009,REQ-009-HLJ-Chunk_1-Item_2-v1.0,['lock'],"['[INFERRED] risk management', 'locking']",1,2,3,direct
meta70b,req-004,REQ-004-HLJ-Chunk_1-Item_7-v1.0,['edgecase'],"['[INFERRED] compliance', 'edgecases']",1,2,3,none
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,['alert'],"['[INFERRED] notification', 'alerting']",1,2,3,direct
gpt41,req-010,REQ-010-HLJ-Chunk_1-Item_7-v1.0,['phantom balance'],"['[INFERRED] reconciliation', 'phantom-balance']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,[],"['consistency', 'error_handling', '[INFERRED] rollback']",0,3,3,none
gpt41,req-029,REQ-029-HLJ-Chunk_1-Item_2-v1.0,['logs'],"['[INFERRED] session-tracking', 'logging']",1,2,3,direct
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_9-v1.0,[],"['performance', 'scalability', '[INFERRED] architecture']",0,3,3,none
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['[INFERRED] analytics', 'logging']",1,2,3,direct
